,Unnamed: 0,#,Наименование,Цена,1h %,% 24ч,7d %,Рыночная капитализация,Объем (24 ч),Циркулирующее предложение,Последние 7 дней
18,,19,Internet ComputerICP,"₽1,482.38",0.82%,6.67%,14.43%,"₽685.33B₽685,333,449,573","₽17,583,773,03511,887,091 ICP","462,288,952 ICP",
19,,20,LitecoinLTC,"₽9,029.94",0.98%,2.78%,4.98%,"₽671.97B₽671,966,686,780","₽50,322,221,0845,586,613 LTC","74,405,787 LTC",
20,,21,UniswapUNI,"₽1,036.19",1.10%,1.68%,0.67%,"₽620.44B₽620,439,820,708","₽13,596,739,98513,168,431 UNI","598,736,140 UNI",
21,,22,UNUS SED LEOLEO,₽544.55,0.01%,0.16%,3.46%,"₽504.63B₽504,628,221,577","₽140,312,808257,745 LEO","926,698,254 LEO",
22,,23,DaiDAI,₽93.22,0.18%,0.52%,1.03%,"₽498.52B₽498,516,853,275","₽33,408,347,414358,413,416 DAI","5,347,888,596 DAI",
23,,24,AptosAPT,"₽1,139.11",0.77%,11.28%,17.42%,"₽454.46B₽454,456,242,264","₽26,667,889,63623,480,493 APT","398,876,137 APT",
24,,25,Ethereum ClassicETC,"₽3,044.96",1.11%,5.14%,6.96%,"₽446.09B₽446,094,442,020","₽28,537,992,7089,392,080 ETC","146,475,989 ETC",
25,,26,FilecoinFIL,₽794.89,0.84%,4.37%,2.30%,"₽425.19B₽425,189,726,697","₽27,739,656,75134,957,766 FIL","534,604,907 FIL",
26,,27,StacksSTX,₽291.99,1.25%,5.72%,6.02%,"₽424.01B₽424,014,410,160","₽11,366,618,04538,960,019 STX","1,452,212,326 STX",
27,,28,MantleMNT,₽124.10,1.11%,3.44%,3.40%,"₽405.04B₽405,040,889,194","₽7,343,879,88759,365,359 MNT","3,264,441,708 MNT",
28,,29,CosmosATOM,"₽1,001.72",0.71%,2.28%,4.07%,"₽391.62B₽391,621,231,907","₽13,581,012,88913,582,401 ATOM","390,930,671 ATOM",
29,,30,BittensorTAO,"₽59,339.72",0.57%,10.23%,11.13%,"₽390.11B₽390,111,006,877","₽6,451,441,515108,977 TAO","6,570,254 TAO",
30,,31,ArbitrumARB,₽137.17,0.99%,3.80%,1.21%,"₽364.04B₽364,039,309,834","₽38,482,680,493281,189,821 ARB","2,653,939,384 ARB",
31,,32,CronosCRO,₽13.56,1.08%,3.89%,0.36%,"₽360.26B₽360,262,332,691","₽2,568,437,394189,532,537 CRO","26,571,560,696 CRO",
32,,33,StellarXLM,₽12.06,0.59%,2.18%,1.16%,"₽348.16B₽348,155,501,212","₽11,942,898,341991,423,992 XLM","28,866,937,549 XLM",
33,,34,ImmutableIMX,₽245.18,0.71%,4.91%,5.08%,"₽348.9B₽348,904,252,430","₽4,937,357,65420,224,769 IMX","1,423,019,954 IMX",
34,,35,RenderRNDR,₽864.32,1.07%,6.72%,5.31%,"₽329.53B₽329,531,019,505","₽12,876,611,06914,943,548 RNDR","381,861,234 RNDR",
35,,36,dogwifhatWIF,₽327.31,0.89%,10.56%,14.15%,"₽327.19B₽327,191,002,927","₽51,856,847,351159,873,831 WIF","998,920,173 WIF",
36,,37,HederaHBAR,₽9.55,0.77%,3.68%,3.66%,"₽322.12B₽322,120,858,452","₽5,378,763,595564,674,261 HBAR","33,719,597,406 HBAR",
37,,38,OKBOKB,"₽5,327.29",0.60%,1.72%,1.18%,"₽319.69B₽319,686,992,656","₽647,720,234121,456 OKB","60,000,000 OKB",
38,,39,First Digital USDFDUSD,₽93.15,0.24%,0.46%,1.07%,"₽307.04B₽307,036,247,087","₽986,596,079,44510,591,444,722 FDUSD","3,298,025,457 FDUSD",
39,,40,VeChainVET,₽4.22,1.00%,0.35%,6.06%,"₽307.12B₽307,121,603,674","₽8,583,230,7992,032,615,309 VET","72,714,516,834 VET",
40,,41,KaspaKAS,₽12.64,0.74%,3.32%,3.39%,"₽294.53B₽294,527,676,938","₽3,596,950,432283,728,166 KAS","23,290,713,138 KAS",
